occupationLabel,Konrad Adenauer,Ludwig Erhard,Kurt Georg Kiesinger,Willy Brandt,Walter Scheel,Helmut Schmidt,Helmut Kohl,Gerhard Schröder,Angela Merkel,Olaf Scholz
assessor,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autobiographer,0.167,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
civil servant,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
consultant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
economist,0.0,0.333,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
historian,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0
journalist,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
judge,0.167,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lawyer,0.167,0.0,0.333,0.0,0.0,0.0,0.0,0.2,0.0,0.5
lobbyist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
military personnel,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
non-fiction writer,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.2,0.0,0.0
physicist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
political scientist,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0
politician,0.167,0.333,0.333,0.25,0.5,0.2,0.333,0.2,0.5,0.5
resistance fighter,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
university teacher,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writer,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
